datetime,accel_x,accel_y,accel_z,accel_ttl,label,sub
50:21.0,-0.140625,-0.34375,0.921875,-0.006122257,Other,
50:21.0,-0.125,-0.328125,0.9375,0.00109803,Other,
50:21.1,-0.15625,-0.34375,0.90625,-0.01823262,Other,
50:21.1,-0.171875,-0.328125,0.90625,-0.020971863,Other,
50:21.1,-0.140625,-0.3125,0.90625,-0.031124,Other,
50:21.2,-0.15625,-0.3125,0.921875,-0.014138028,Other,
50:21.2,-0.140625,-0.328125,0.9375,0.003168807,Other,
50:21.2,-0.15625,-0.296875,0.921875,-0.018978928,Other,
50:21.2,-0.140625,-0.296875,0.9375,-0.006613667,Other,
50:21.3,-0.15625,-0.296875,0.9375,-0.004281627,Other,
50:21.3,-0.15625,-0.296875,0.921875,-0.018978928,Other,
50:21.3,-0.1875,-0.296875,0.90625,-0.028104904,Other,
50:21.4,-0.171875,-0.3125,0.953125,0.017666218,Other,
50:21.4,-0.1875,-0.296875,0.9375,0.00109803,Other,
50:21.4,-0.1875,-0.3125,0.921875,-0.00870488,Other,
50:21.5,-0.203125,-0.3125,0.953125,0.023407681,Other,
50:21.5,-0.1875,-0.3125,0.953125,0.020421367,Other,
50:21.5,-0.171875,-0.3125,0.9375,0.003047115,Other,
50:21.6,-0.1875,-0.3125,0.953125,0.020421367,Other,
50:21.6,-0.1875,-0.3125,0.9375,0.005842309,Other,
50:21.6,-0.15625,-0.3125,0.953125,0.015144117,Other,
50:21.7,-0.171875,-0.3125,0.9375,0.003047115,Other,
50:21.7,-0.15625,-0.328125,0.953125,0.020062421,Other,
50:21.7,-0.140625,-0.328125,0.96875,0.032433034,Other,
50:21.7,-0.15625,-0.3125,0.921875,-0.014138028,Other,
50:21.8,-0.15625,-0.3125,0.953125,0.015144117,Other,
50:21.8,-0.109375,-0.3125,0.953125,0.008992768,Other,
50:21.8,-0.140625,-0.3125,0.9375,-0.001832734,Other,
50:21.9,-0.140625,-0.328125,0.9375,0.003168807,Other,
50:21.9,-0.140625,-0.3125,0.921875,-0.016493439,Other,
50:21.9,-0.140625,-0.3125,0.90625,-0.031124,Other,
50:22.0,-0.140625,-0.3125,0.921875,-0.016493439,Other,
50:22.0,-0.140625,-0.296875,0.921875,-0.02134599,Other,
50:22.0,-0.140625,-0.3125,0.90625,-0.031124,Other,
50:22.1,-0.15625,-0.3125,0.90625,-0.028733108,Other,
50:22.1,-0.140625,-0.296875,0.9375,-0.006613667,Other,
50:22.1,-0.109375,-0.3125,0.953125,0.008992768,Other,
50:22.2,-0.140625,-0.3125,0.953125,0.012856804,Other,
50:22.2,-0.140625,-0.3125,0.953125,0.012856804,Other,
50:22.2,-0.140625,-0.3125,0.953125,0.012856804,Other,
50:22.2,-0.15625,-0.3125,0.953125,0.015144117,Other,
50:22.3,-0.140625,-0.328125,0.9375,0.003168807,Other,
50:22.3,-0.15625,-0.328125,0.9375,0.005478159,Other,
50:22.3,-0.15625,-0.328125,0.9375,0.005478159,Other,
50:22.4,-0.140625,-0.328125,0.9375,0.003168807,Other,
50:22.4,-0.140625,-0.3125,0.9375,-0.001832734,Other,
50:22.4,-0.140625,-0.3125,0.921875,-0.016493439,Other,
50:22.5,-0.15625,-0.3125,0.9375,0.000488162,Other,
50:22.5,-0.140625,-0.328125,0.9375,0.003168807,Other,
50:22.5,-0.125,-0.3125,0.9375,-0.003913909,Other,
50:22.6,-0.125,-0.3125,0.9375,-0.003913909,Other,
50:22.6,-0.15625,-0.3125,0.921875,-0.014138028,Other,
50:22.6,-0.15625,-0.3125,0.921875,-0.014138028,Other,
50:22.7,-0.140625,-0.3125,0.9375,-0.001832734,Other,
50:22.7,-0.15625,-0.3125,0.9375,0.000488162,Other,
50:22.7,-0.171875,-0.3125,0.9375,0.003047115,Other,
50:22.7,-0.15625,-0.328125,0.9375,0.005478159,Other,
50:22.8,-0.15625,-0.328125,0.953125,0.020062421,Other,
50:22.8,-0.15625,-0.328125,0.9375,0.005478159,Other,
50:22.8,-0.140625,-0.328125,0.953125,0.017786162,Other,
50:22.9,-0.125,-0.328125,0.953125,0.015745185,Other,
50:22.9,-0.140625,-0.328125,0.9375,0.003168807,Other,
50:22.9,-0.140625,-0.328125,0.9375,0.003168807,Other,
50:23.0,-0.125,-0.328125,0.9375,0.00109803,Other,
50:23.0,-0.125,-0.328125,0.9375,0.00109803,Other,
50:23.0,-0.125,-0.328125,0.9375,0.00109803,Other,
50:23.1,-0.125,-0.328125,0.9375,0.00109803,Other,
50:23.1,-0.140625,-0.3125,0.921875,-0.016493439,Other,
50:23.1,-0.140625,-0.328125,0.921875,-0.011417721,Other,
50:23.2,-0.140625,-0.328125,0.921875,-0.011417721,Other,
50:23.2,-0.140625,-0.3125,0.921875,-0.016493439,Other,
50:23.2,-0.140625,-0.3125,0.921875,-0.016493439,Other,
50:23.2,-0.15625,-0.3125,0.921875,-0.014138028,Other,
50:23.3,-0.109375,-0.34375,0.96875,0.033732807,Other,
50:23.3,-0.109375,-0.34375,0.96875,0.033732807,Other,
50:23.3,-0.109375,-0.328125,0.953125,0.013940911,Other,
50:23.4,-0.125,-0.328125,0.9375,0.00109803,Other,
50:23.4,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:23.4,-0.140625,-0.3125,0.921875,-0.016493439,Other,
50:23.5,-0.140625,-0.328125,0.921875,-0.011417721,Other,
50:23.5,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:23.5,-0.125,-0.328125,0.9375,0.00109803,Other,
50:23.6,-0.125,-0.328125,0.9375,0.00109803,Other,
50:23.6,-0.125,-0.3125,0.9375,-0.003913909,Other,
50:23.6,-0.125,-0.3125,0.953125,0.010805874,Other,
50:23.7,-0.125,-0.328125,0.953125,0.015745185,Other,
50:23.7,-0.125,-0.328125,0.953125,0.015745185,Other,
50:23.7,-0.140625,-0.328125,0.921875,-0.011417721,Other,
50:23.7,-0.140625,-0.328125,0.921875,-0.011417721,Other,
50:23.8,-0.140625,-0.328125,0.921875,-0.011417721,Other,
50:23.8,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:23.8,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:23.9,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:23.9,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:23.9,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.0,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.0,-0.125,-0.328125,0.953125,0.015745185,Other,
50:24.0,-0.125,-0.34375,0.9375,0.006327637,Other,
50:24.1,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.1,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.1,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.2,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.2,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:24.2,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.2,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:24.3,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:24.3,-0.140625,-0.328125,0.921875,-0.011417721,Other,
50:24.3,-0.140625,-0.328125,0.921875,-0.011417721,Other,
50:24.4,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.4,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.4,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.5,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.5,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:24.5,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:24.6,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:24.6,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:24.6,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:24.7,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:24.7,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:24.7,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:24.7,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:24.8,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:24.8,-0.125,-0.328125,0.9375,0.00109803,Other,
50:24.8,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:24.9,-0.125,-0.34375,0.9375,0.006327637,Other,
50:24.9,-0.125,-0.34375,0.9375,0.006327637,Other,
50:24.9,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:25.0,-0.125,-0.34375,0.9375,0.006327637,Other,
50:25.0,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:25.0,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:25.1,-0.125,-0.328125,0.9375,0.00109803,Other,
50:25.1,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:25.1,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:25.2,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:25.2,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:25.2,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:25.2,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.3,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.3,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.3,-0.125,-0.328125,0.90625,-0.028104904,Other,
50:25.4,-0.140625,-0.328125,0.921875,-0.011417721,Other,
50:25.4,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.4,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.5,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:25.5,-0.109375,-0.34375,0.953125,0.019104616,Other,
50:25.5,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:25.6,-0.125,-0.328125,0.953125,0.015745185,Other,
50:25.6,-0.125,-0.328125,0.953125,0.015745185,Other,
50:25.6,-0.125,-0.34375,0.9375,0.006327637,Other,
50:25.7,-0.125,-0.328125,0.953125,0.015745185,Other,
50:25.7,-0.125,-0.328125,0.9375,0.00109803,Other,
50:25.7,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:25.7,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.8,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:25.8,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.8,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.9,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.9,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:25.9,-0.125,-0.328125,0.9375,0.00109803,Other,
50:26.0,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:26.0,-0.125,-0.328125,0.9375,0.00109803,Other,
50:26.0,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.1,-0.125,-0.34375,0.953125,0.020899764,Other,
50:26.1,-0.125,-0.3125,0.9375,-0.003913909,Other,
50:26.1,-0.125,-0.328125,0.9375,0.00109803,Other,
50:26.2,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.2,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.2,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:26.2,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:26.3,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:26.3,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.3,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:26.4,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.4,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:26.4,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.5,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:26.5,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:26.5,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:26.6,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:26.6,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.6,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:26.7,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:26.7,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.7,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:26.7,-0.109375,-0.359375,0.9375,0.009960163,Other,
50:26.8,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.8,-0.125,-0.34375,0.9375,0.006327637,Other,
50:26.8,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:26.9,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:26.9,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:26.9,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:27.0,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:27.0,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:27.0,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:27.1,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:27.1,-0.125,-0.34375,0.9375,0.006327637,Other,
50:27.1,-0.125,-0.328125,0.9375,0.00109803,Other,
50:27.2,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:27.2,-0.125,-0.328125,0.9375,0.00109803,Other,
50:27.2,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:27.2,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:27.3,-0.125,-0.328125,0.9375,0.00109803,Other,
50:27.3,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:27.3,-0.125,-0.34375,0.9375,0.006327637,Other,
50:27.4,-0.125,-0.328125,0.9375,0.00109803,Other,
50:27.4,-0.125,-0.328125,0.9375,0.00109803,Other,
50:27.4,-0.125,-0.34375,0.9375,0.006327637,Other,
50:27.5,-0.125,-0.328125,0.9375,0.00109803,Other,
50:27.5,-0.125,-0.328125,0.9375,0.00109803,Other,
50:27.5,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:27.6,-0.125,-0.328125,0.921875,-0.013519118,Other,
50:27.6,-0.109375,-0.328125,0.921875,-0.015377015,Other,
50:27.6,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:27.7,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:27.7,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:27.7,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:27.7,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:27.8,-0.125,-0.34375,0.9375,0.006327637,Other,
50:27.8,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:27.8,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:27.9,-0.109375,-0.328125,0.9375,-0.00073269,Other,
50:27.9,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:27.9,-0.125,-0.34375,0.9375,0.006327637,Other,
50:28.0,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:28.0,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:28.0,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:28.1,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:28.1,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:28.1,-0.125,-0.34375,0.9375,0.006327637,Other,
50:28.2,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:28.2,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:28.2,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:28.3,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:28.3,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:28.3,-0.125,-0.34375,0.9375,0.006327637,Other,
50:28.3,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:28.4,-0.125,-0.34375,0.9375,0.006327637,Other,
50:28.4,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:28.4,-0.125,-0.34375,0.9375,0.006327637,Other,
50:28.5,-0.125,-0.34375,0.9375,0.006327637,Other,
50:28.5,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:28.5,-0.125,-0.328125,0.9375,0.00109803,Other,
50:28.6,-0.125,-0.34375,0.9375,0.006327637,Other,
50:28.6,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:28.6,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:28.7,-0.125,-0.34375,0.921875,-0.008212433,Other,
50:28.7,-0.109375,-0.34375,0.921875,-0.010060371,Other,
50:28.7,-0.109375,-0.34375,0.9375,0.004506448,Other,
50:28.7,-0.125,-0.34375,0.9375,0.006327637,Other,
50:28.8,-0.125,-0.34375,0.9375,0.006327637,Other,
