date_time,accel_x,accel_y,accel_z,heart_rate
2019-11-24 18:49:15,-3.0,-26.0,58.0,79.0
2019-11-24 18:49:16,-4.0,-26.0,59.0,67.0
2019-11-24 18:49:17,-4.0,-26.0,58.0,72.33
2019-11-24 18:49:18,-4.0,-25.0,58.0,75.5
2019-11-24 18:49:19,-4.0,-25.0,58.0,77.4
2019-11-24 18:49:20,-3.0,-26.0,58.0,75.67
2019-11-24 18:49:21,-4.0,-25.0,58.0,74.71
2019-11-24 18:49:22,-3.0,-25.0,58.0,73.88
2019-11-24 18:49:23,-4.0,-25.0,58.0,72.89
2019-11-24 18:49:24,-3.0,-25.0,58.0,71.8
2019-11-24 18:49:25,-4.0,-25.0,58.0,71.27
2019-11-24 18:49:26,-3.0,-26.0,58.0,70.42
2019-11-24 18:49:27,-3.0,-26.0,58.0,69.38
2019-11-24 18:49:28,-4.0,-26.0,58.0,68.64
2019-11-24 18:49:29,-4.0,-25.0,57.0,68.0
2019-11-24 18:49:30,1.0,-27.0,57.0,67.31
2019-11-24 18:49:31,-2.0,-25.0,58.0,67.94
2019-11-24 18:49:32,-1.0,-25.0,58.0,68.61
2019-11-24 18:49:33,0.0,-28.0,58.0,68.58
2019-11-24 18:49:34,-1.0,-30.0,57.0,68.45
2019-11-24 18:49:35,-2.0,-28.0,58.0,68.1
2019-11-24 18:49:36,-1.0,-24.0,55.0,68.0
2019-11-24 18:49:37,9.0,-34.0,60.0,68.09
2019-11-24 18:49:38,6.0,-29.0,57.0,68.17
2019-11-24 18:49:39,11.0,-3.0,59.0,68.24
2019-11-24 18:49:40,0.0,1.0,62.0,68.31
2019-11-24 18:49:41,-65.0,-3.0,0.0,68.41
2019-11-24 18:49:42,-63.0,1.0,3.0,68.36
2019-11-24 18:49:43,-63.0,-2.0,2.0,68.28
2019-11-24 18:49:44,-65.0,1.0,-7.0,68.2
2019-11-24 18:49:45,-64.0,1.0,-7.0,68.13
2019-11-24 18:49:46,-64.0,4.0,-8.0,68.06
2019-11-24 18:49:47,-63.0,5.0,-5.0,68.03
2019-11-24 18:49:48,-64.0,4.0,-1.0,67.97
2019-11-24 18:49:49,-62.0,3.0,2.0,68.0
2019-11-24 18:49:50,-64.0,2.0,-7.0,68.0
2019-11-24 18:49:51,-64.0,2.0,-8.0,68.03
2019-11-24 18:49:52,-58.0,9.0,-10.0,68.08
2019-11-24 18:49:53,-33.0,-46.0,41.0,68.15
2019-11-24 18:49:54,-4.0,-22.0,15.0,68.18
2019-11-24 18:49:55,-20.0,-45.0,17.0,68.15
2019-11-24 18:49:56,-24.0,-73.0,19.0,68.1
2019-11-24 18:49:57,-35.0,-89.0,30.0,68.05
2019-11-24 18:49:58,-28.0,-85.0,26.0,68.39
2019-11-24 18:49:59,-26.0,-61.0,21.0,68.67
2019-11-24 18:50:00,-21.0,-31.0,16.0,68.96
2019-11-24 18:50:01,-10.0,-49.0,26.0,69.57
2019-11-24 18:50:02,-21.0,-80.0,20.0,70.19
2019-11-24 18:50:03,-19.0,-75.0,11.0,70.78
2019-11-24 18:50:04,-16.0,-34.0,10.0,71.34
2019-11-24 18:50:05,-20.0,-68.0,10.0,71.9
2019-11-24 18:50:06,-30.0,-71.0,22.0,72.44
2019-11-24 18:50:07,-29.0,-99.0,24.0,73.08
2019-11-24 18:50:08,-28.0,-57.0,19.0,73.69
2019-11-24 18:50:09,-22.0,-31.0,18.0,74.25
2019-11-24 18:50:10,-14.0,-52.0,17.0,74.8
2019-11-24 18:50:11,-30.0,-64.0,19.0,75.35
2019-11-24 18:50:12,-18.0,-28.0,7.0,75.88
2019-11-24 18:50:13,-20.0,-66.0,10.0,76.39
2019-11-24 18:50:14,-29.0,-106.0,21.0,76.88
2019-11-24 18:50:15,-30.0,-49.0,15.0,77.32
2019-11-24 18:50:16,-16.0,-46.0,19.0,78.15
2019-11-24 18:50:17,-11.0,-47.0,23.0,78.5
2019-11-24 18:50:18,-22.0,-85.0,17.0,78.8
2019-11-24 18:50:19,-24.0,-32.0,2.0,79.08
2019-11-24 18:50:20,-15.0,-64.0,-14.0,79.67
2019-11-24 18:50:21,-15.0,-41.0,14.0,80.22
2019-11-24 18:50:22,-22.0,-75.0,33.0,80.78
