date_time,accel_x,accel_y,accel_z,bv_pulse,electro_dermal,heart_rate,temp,group
2019-11-24 18:49:15,-3.0,-26.0,58.0,1.74,8.540753,79.0,31.85,tyler
2019-11-24 18:49:16,-4.0,-26.0,59.0,-9.75,8.540753,67.0,31.83,tyler
2019-11-24 18:49:17,-4.0,-26.0,58.0,2.27,8.542034,72.33,31.85,tyler
2019-11-24 18:49:18,-4.0,-25.0,58.0,-0.79,8.540753,75.5,31.87,tyler
2019-11-24 18:49:19,-4.0,-25.0,58.0,-0.2,8.539473,77.4,31.85,tyler
2019-11-24 18:49:20,-3.0,-26.0,58.0,4.05,8.539473,75.67,31.85,tyler
2019-11-24 18:49:21,-4.0,-25.0,58.0,9.34,8.540753,74.71,31.85,tyler
2019-11-24 18:49:22,-3.0,-25.0,58.0,4.25,8.540753,73.88,31.89,tyler
2019-11-24 18:49:23,-4.0,-25.0,58.0,-7.51,8.542034,72.89,31.89,tyler
2019-11-24 18:49:24,-3.0,-25.0,58.0,3.96,8.540753,71.8,31.85,tyler
2019-11-24 18:49:25,-4.0,-25.0,58.0,4.02,8.539473,71.27,31.89,tyler
2019-11-24 18:49:26,-3.0,-26.0,58.0,-0.39,8.539473,70.42,31.91,tyler
2019-11-24 18:49:27,-3.0,-26.0,58.0,4.23,8.540753,69.38,31.89,tyler
2019-11-24 18:49:28,-4.0,-26.0,58.0,-6.98,8.540753,68.64,31.89,tyler
2019-11-24 18:49:29,-4.0,-25.0,57.0,2.78,8.540753,68.0,31.89,tyler
2019-11-24 18:49:30,1.0,-27.0,57.0,-7.92,8.540753,67.31,31.91,tyler
2019-11-24 18:49:31,-2.0,-25.0,58.0,-7.48,8.540753,67.94,31.91,tyler
2019-11-24 18:49:32,-1.0,-25.0,58.0,-10.73,8.539473,68.61,31.93,tyler
2019-11-24 18:49:33,0.0,-28.0,58.0,16.06,8.540753,68.58,31.93,tyler
2019-11-24 18:49:34,-1.0,-30.0,57.0,-7.32,8.542034,68.45,31.93,tyler
2019-11-24 18:49:35,-2.0,-28.0,58.0,17.71,8.539473,68.1,31.93,tyler
2019-11-24 18:49:36,-1.0,-24.0,55.0,-43.45,8.540753,68.0,31.95,tyler
2019-11-24 18:49:37,9.0,-34.0,60.0,135.43,8.540753,68.09,31.95,tyler
2019-11-24 18:49:38,6.0,-29.0,57.0,-11.72,8.539473,68.17,31.95,tyler
2019-11-24 18:49:39,11.0,-3.0,59.0,20.39,8.540753,68.24,31.93,tyler
2019-11-24 18:49:40,0.0,1.0,62.0,-12.96,8.539473,68.31,31.93,tyler
2019-11-24 18:49:41,-65.0,-3.0,0.0,9.26,8.539473,68.41,31.97,tyler
2019-11-24 18:49:42,-63.0,1.0,3.0,-64.08,8.540753,68.36,31.95,tyler
2019-11-24 18:49:43,-63.0,-2.0,2.0,59.49,8.540753,68.28,31.95,tyler
2019-11-24 18:49:44,-65.0,1.0,-7.0,6.43,8.539473,68.2,31.95,tyler
2019-11-24 18:49:45,-64.0,1.0,-7.0,4.74,8.542034,68.13,31.97,tyler
2019-11-24 18:49:46,-64.0,4.0,-8.0,11.37,8.540753,68.06,31.97,tyler
2019-11-24 18:49:47,-63.0,5.0,-5.0,5.96,8.539473,68.03,31.95,tyler
2019-11-24 18:49:48,-64.0,4.0,-1.0,-16.73,8.539473,67.97,31.99,tyler
2019-11-24 18:49:49,-62.0,3.0,2.0,39.46,8.540753,68.0,31.99,tyler
2019-11-24 18:49:50,-64.0,2.0,-7.0,-7.72,8.539473,68.0,31.97,tyler
2019-11-24 18:49:51,-64.0,2.0,-8.0,28.85,8.539473,68.03,31.97,tyler
2019-11-24 18:49:52,-58.0,9.0,-10.0,-3.31,8.540753,68.08,31.99,tyler
2019-11-24 18:49:53,-33.0,-46.0,41.0,-10.13,8.539473,68.15,31.99,tyler
2019-11-24 18:49:54,-4.0,-22.0,15.0,-53.98,8.539473,68.18,31.99,tyler
2019-11-24 18:49:55,-20.0,-45.0,17.0,-74.08,8.540753,68.15,31.97,tyler
2019-11-24 18:49:56,-24.0,-73.0,19.0,35.18,8.543315,68.1,31.99,tyler
2019-11-24 18:49:57,-35.0,-89.0,30.0,-23.11,8.539473,68.05,31.99,tyler
2019-11-24 18:49:58,-28.0,-85.0,26.0,-38.59,8.540753,68.39,31.99,tyler
