date_time,accel_x,accel_y,accel_z,temp
2019-11-24 18:49:05.000000000,-2.0,-26.0,57.0,31.83
2019-11-24 18:49:05.031249920,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.062500096,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.093750016,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.124999936,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.156250112,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.187500032,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.218749952,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.249999872,-2.0,-26.0,57.0,31.83
2019-11-24 18:49:05.281250048,-2.0,-26.0,58.0,31.83
2019-11-24 18:49:05.312499968,-2.0,-26.0,59.0,31.83
2019-11-24 18:49:05.343749888,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:05.375000064,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.406249984,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.437499904,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.468750080,-3.0,-26.0,57.0,31.83
2019-11-24 18:49:05.500000000,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.531249920,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.562500096,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.593750016,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.624999936,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.656250112,-2.0,-26.0,58.0,31.83
2019-11-24 18:49:05.687500032,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.718749952,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.750000128,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.781250048,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:05.812499968,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.843749888,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:05.875000064,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:05.906249984,-3.0,-25.0,57.0,31.83
2019-11-24 18:49:05.937499904,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:05.968750080,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:06.000000000,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:06.031249920,-3.0,-26.0,57.0,31.83
2019-11-24 18:49:06.062500096,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:06.093750016,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:06.124999936,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:06.156250112,-4.0,-25.0,57.0,31.83
2019-11-24 18:49:06.187500032,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:06.218749952,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:06.249999872,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:06.281250048,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:06.312499968,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:06.343749888,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:06.375000064,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:06.406249984,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:06.437499904,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:06.468750080,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:06.500000000,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:06.531249920,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:06.562500096,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:06.593750016,-3.0,-26.0,57.0,31.83
2019-11-24 18:49:06.624999936,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:06.656250112,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:06.687500032,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:06.718749952,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:06.750000128,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:06.781250048,-3.0,-26.0,58.0,31.827499999999997
2019-11-24 18:49:06.812499968,-3.0,-26.0,58.0,31.825
2019-11-24 18:49:06.843749888,-4.0,-26.0,58.0,31.822499999999998
2019-11-24 18:49:06.875000064,-4.0,-26.0,58.0,31.82
2019-11-24 18:49:06.906249984,-4.0,-26.0,58.0,31.8175
2019-11-24 18:49:06.937499904,-4.0,-26.0,58.0,31.814999999999998
2019-11-24 18:49:06.968750080,-3.0,-26.0,58.0,31.8125
2019-11-24 18:49:07.000000000,-3.0,-26.0,58.0,31.81
2019-11-24 18:49:07.031249920,-3.0,-26.0,57.0,31.81
2019-11-24 18:49:07.062500096,-4.0,-27.0,58.0,31.81
2019-11-24 18:49:07.093750016,-4.0,-27.0,57.0,31.81
2019-11-24 18:49:07.124999936,-3.0,-26.0,57.0,31.81
2019-11-24 18:49:07.156250112,-3.0,-26.0,57.0,31.81
2019-11-24 18:49:07.187500032,-4.0,-26.0,58.0,31.81
2019-11-24 18:49:07.218749952,-4.0,-26.0,58.0,31.81
2019-11-24 18:49:07.249999872,-4.0,-26.0,58.0,31.81
2019-11-24 18:49:07.281250048,-3.0,-26.0,57.0,31.81
2019-11-24 18:49:07.312499968,-3.0,-26.0,57.0,31.81
2019-11-24 18:49:07.343749888,-2.0,-26.0,58.0,31.81
2019-11-24 18:49:07.375000064,-3.0,-27.0,58.0,31.81
2019-11-24 18:49:07.406249984,-3.0,-26.0,58.0,31.81
2019-11-24 18:49:07.437499904,-5.0,-26.0,58.0,31.81
2019-11-24 18:49:07.468750080,-4.0,-26.0,57.0,31.81
2019-11-24 18:49:07.500000000,-4.0,-26.0,58.0,31.81
2019-11-24 18:49:07.531249920,-3.0,-26.0,58.0,31.81
2019-11-24 18:49:07.562500096,-3.0,-26.0,58.0,31.81
2019-11-24 18:49:07.593750016,-4.0,-27.0,58.0,31.81
2019-11-24 18:49:07.624999936,-3.0,-26.0,58.0,31.81
2019-11-24 18:49:07.656250112,-3.0,-26.0,58.0,31.81
2019-11-24 18:49:07.687500032,-3.0,-26.0,58.0,31.81
2019-11-24 18:49:07.718749952,-3.0,-26.0,58.0,31.81
2019-11-24 18:49:07.750000128,-4.0,-26.0,58.0,31.81
2019-11-24 18:49:07.781250048,-4.0,-26.0,58.0,31.8125
2019-11-24 18:49:07.812499968,-4.0,-26.0,58.0,31.814999999999998
2019-11-24 18:49:07.843749888,-4.0,-26.0,58.0,31.8175
2019-11-24 18:49:07.875000064,-4.0,-25.0,57.0,31.82
2019-11-24 18:49:07.906249984,-3.0,-26.0,58.0,31.822499999999998
2019-11-24 18:49:07.937499904,-3.0,-26.0,59.0,31.825
2019-11-24 18:49:07.968750080,-3.0,-26.0,58.0,31.827499999999997
2019-11-24 18:49:08.000000000,-3.0,-25.0,57.0,31.83
2019-11-24 18:49:08.031249920,-3.0,-25.0,57.0,31.83
2019-11-24 18:49:08.062500096,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:08.093750016,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:08.124999936,-4.0,-25.0,57.0,31.83
2019-11-24 18:49:08.156250112,-3.0,-25.0,57.0,31.83
2019-11-24 18:49:08.187500032,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.218749952,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.249999872,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.281250048,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.312499968,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.343749888,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.375000064,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.406249984,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.437499904,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.468750080,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:08.500000000,-4.0,-25.0,57.0,31.83
2019-11-24 18:49:08.531249920,-4.0,-25.0,57.0,31.83
2019-11-24 18:49:08.562500096,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.593750016,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.624999936,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.656250112,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.687500032,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:08.718749952,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:08.750000128,-5.0,-26.0,58.0,31.83
2019-11-24 18:49:08.781250048,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:08.812499968,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:08.843749888,-3.0,-26.0,59.0,31.83
2019-11-24 18:49:08.875000064,-3.0,-26.0,59.0,31.83
2019-11-24 18:49:08.906249984,-3.0,-26.0,59.0,31.83
2019-11-24 18:49:08.937499904,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:08.968750080,-4.0,-26.0,57.0,31.83
2019-11-24 18:49:09.000000000,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.031249920,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.062500096,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.093750016,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.124999936,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.156250112,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.187500032,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.218749952,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.249999872,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.281250048,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.312499968,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.343749888,-4.0,-26.0,57.0,31.83
2019-11-24 18:49:09.375000064,-4.0,-26.0,57.0,31.83
2019-11-24 18:49:09.406249984,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.437499904,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.468750080,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.500000000,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.531249920,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.562500096,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.593750016,-3.0,-26.0,57.0,31.83
2019-11-24 18:49:09.624999936,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.656250112,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.687500032,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.718749952,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:09.750000128,-4.0,-26.0,57.0,31.83
2019-11-24 18:49:09.781250048,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:09.812499968,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:09.843749888,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.875000064,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:09.906249984,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:09.937499904,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:09.968750080,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:10.000000000,-4.0,-25.0,57.0,31.83
2019-11-24 18:49:10.031249920,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:10.062500096,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:10.093750016,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:10.124999936,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:10.156250112,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:10.187500032,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:10.218749952,-4.0,-25.0,57.0,31.83
2019-11-24 18:49:10.249999872,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:10.281250048,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:10.312499968,-4.0,-25.0,59.0,31.83
2019-11-24 18:49:10.343749888,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:10.375000064,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:10.406249984,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:10.437499904,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:10.468750080,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:10.500000000,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:10.531249920,-3.0,-25.0,57.0,31.83
2019-11-24 18:49:10.562500096,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:10.593750016,-4.0,-25.0,58.0,31.83
2019-11-24 18:49:10.624999936,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:10.656250112,-3.0,-25.0,58.0,31.83
2019-11-24 18:49:10.687500032,-4.0,-26.0,58.0,31.83
2019-11-24 18:49:10.718749952,-3.0,-26.0,58.0,31.83
2019-11-24 18:49:10.750000128,-3.0,-26.0,58.0,31.83
